id,url,visit_time,from_visit,transition,segment_id,visit_duration,incremented_omnibox_typed_score
1,1,13198057190033890,0,805306368,0,3057572,0
2,2,13198057426121372,0,805306374,0,0,0
3,2,13198057428224892,0,805306368,0,0,0
4,3,13198057428244298,0,268435456,0,0,0
5,4,13198057433620078,4,1610612736,0,0,0
6,4,13198057434773478,0,1073741824,0,0,0
7,4,13198057434773478,6,-1610612736,0,0,0
8,4,13198057434793376,0,1073741824,0,0,0
9,5,13198057434793376,8,-1610612736,0,0,0
10,5,13198057444861548,0,1073741824,0,0,0
11,6,13198057444861548,10,-1610612736,0,0,0
12,25,13198057472645420,0,805306368,0,2367213,0
13,9,13198057483614822,0,268435457,1,0,0
14,26,13198057483614822,13,-2147483647,0,0,1
15,14,13198057483614822,14,-1610612735,0,4306067,0
16,27,13198057487920888,15,805306368,1,19177543,0
17,28,13198057492619912,0,805306368,0,1627064,0
18,21,13198057655542728,0,805306370,1,4315798,0
19,27,13198057659858526,18,805306368,1,0,0
20,27,13198057665497012,0,805306368,0,0,0
21,29,13198057691738388,20,1610612736,0,4970942714,0
22,29,13198057711430520,0,1073741824,0,0,0
23,30,13198057711430520,22,-1610612736,0,0,0
24,31,13198057804644578,0,805306368,0,11324061,0
25,32,13198057841604650,0,268435457,2,0,0
26,24,13198057841604650,25,-1610612735,0,0,1
27,33,13198057849690540,0,805306368,0,0,0
28,34,13198057852068674,0,805306368,0,0,0
29,34,13198057853183218,0,1073741824,0,0,0
30,35,13198057853183218,29,-1610612736,0,0,0
31,35,13198057854255342,0,1073741824,0,0,0
32,36,13198057854255342,31,-1610612736,0,0,0
33,36,13198057854931176,0,1073741824,0,0,0
34,37,13198057854931176,33,-1610612736,0,0,0
35,38,13198057872685328,0,805306368,0,0,0
36,39,13198057876134936,0,805306368,0,0,0
37,40,13198057898439468,0,805306368,0,0,0
38,40,13198057899710454,0,1073741824,0,0,0
39,41,13198057899710454,38,-1610612736,0,0,0
40,41,13198057900923948,0,1073741824,0,0,0
41,42,13198057900923948,40,-1610612736,0,0,0
42,42,13198057901703254,0,1073741824,0,0,0
43,43,13198057901703254,42,-1610612736,0,0,0
44,43,13198057902101948,0,1073741824,0,0,0
45,44,13198057902101948,44,-1610612736,0,0,0
46,45,13198057913993746,0,805306368,0,0,0
47,45,13198057915174192,0,1073741824,0,0,0
48,46,13198057915174192,47,-1610612736,0,0,0
49,46,13198057915982348,0,1073741824,0,0,0
50,47,13198057915982348,49,-1610612736,0,0,0
51,47,13198057917453264,0,1073741824,0,0,0
52,48,13198057917453264,51,-1610612736,0,0,0
53,48,13198057918713184,0,1073741824,0,0,0
54,49,13198057918713184,53,-1610612736,0,0,0
55,49,13198057919830888,0,1073741824,0,0,0
56,50,13198057919830888,55,-1610612736,0,0,0
57,50,13198057920326992,0,1073741824,0,0,0
58,51,13198057920326992,57,-1610612736,0,0,0
59,51,13198057921817956,0,1073741824,0,0,0
60,52,13198057921817956,59,-1610612736,0,0,0
61,52,13198057922598604,0,1073741824,0,0,0
62,53,13198057922598604,61,-1610612736,0,0,0
